PRODUCT BACKLOG — Trợ lý AI Hành chính Văn phòng (OpenClaw),,,,,,,
ID,Chức năng,Tính năng,Đối tượng (Ai),Hành động (Muốn gì),Mục đích (Để làm gì),Độ ưu tiên,Sprint
US-327,Tích hợp hệ thống,Zalo Integration module_7,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 4
US-328,Tích hợp hệ thống,API nội bộ module_7,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 4
US-329,Tích hợp hệ thống,Hệ thống chữ ký số module_7,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 4
US-330,Tích hợp hệ thống,Kết nối Gmail module_8,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 4
US-331,Tích hợp hệ thống,Gửi file Drive module_8,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 4
US-332,Tích hợp hệ thống,Webhook Jira module_8,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 4
US-333,Tích hợp hệ thống,Bot Telegram module_8,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 4
US-334,Tích hợp hệ thống,Zalo Integration module_8,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 4
US-335,Tích hợp hệ thống,API nội bộ module_8,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 4
US-336,Tích hợp hệ thống,Hệ thống chữ ký số module_8,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 4
US-337,Tích hợp hệ thống,Kết nối Gmail module_9,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 4
US-338,Tích hợp hệ thống,Gửi file Drive module_9,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 4
US-339,Tích hợp hệ thống,Webhook Jira module_9,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 4
US-340,Tích hợp hệ thống,Bot Telegram module_9,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 4
US-341,Tích hợp hệ thống,Zalo Integration module_9,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 4
US-342,Tích hợp hệ thống,API nội bộ module_9,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 4
US-343,Tích hợp hệ thống,Hệ thống chữ ký số module_9,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 4
US-344,Tích hợp hệ thống,Kết nối Gmail module_10,Là Nhân viên,muốn đọc email mới qua bot,để xử lý nhanh,🟡 Trung bình,Sprint 4
US-345,Tích hợp hệ thống,Gửi file Drive module_10,Là Người dùng,muốn upload file soạn thảo lên Google Drive,để lưu trữ đám mây,🟡 Trung bình,Sprint 4
US-346,Tích hợp hệ thống,Webhook Jira module_10,Là Dev,muốn nhận thông báo ticket mới,để xử lý yêu cầu kỹ thuật,🟡 Trung bình,Sprint 4
US-347,Tích hợp hệ thống,Bot Telegram module_10,Là Người dùng,muốn gửi lệnh điều khiển qua Telegram,để làm việc di động,🟡 Trung bình,Sprint 4
US-348,Tích hợp hệ thống,Zalo Integration module_10,Là Sales,muốn nhận tin nhắn khách hàng qua Zalo,để phản hồi tập trung,🟡 Trung bình,Sprint 4
US-349,Tích hợp hệ thống,API nội bộ module_10,Là Developer,muốn kết nối với database công ty,để lấy dữ liệu nhân sự,🟡 Trung bình,Sprint 4
US-350,Tích hợp hệ thống,Hệ thống chữ ký số module_10,Là Lãnh đạo,muốn tích hợp ký file PDF,để ban hành văn bản điện tử,🟡 Trung bình,Sprint 4
US-351,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_1,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🔴 Cao,Sprint 2
US-352,Bảo mật & Dữ liệu,Phân quyền Admin rule_1,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🔴 Cao,Sprint 2
US-353,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_1,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🔴 Cao,Sprint 2
US-354,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_1,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🔴 Cao,Sprint 2
US-355,Bảo mật & Dữ liệu,Audit Log rule_1,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🔴 Cao,Sprint 2
US-356,Bảo mật & Dữ liệu,Chặn User lạ rule_1,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🔴 Cao,Sprint 2
US-357,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_2,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🔴 Cao,Sprint 2
US-358,Bảo mật & Dữ liệu,Phân quyền Admin rule_2,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🔴 Cao,Sprint 2
US-359,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_2,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🔴 Cao,Sprint 2
US-360,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_2,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🔴 Cao,Sprint 2
US-361,Bảo mật & Dữ liệu,Audit Log rule_2,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🔴 Cao,Sprint 2
US-362,Bảo mật & Dữ liệu,Chặn User lạ rule_2,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🔴 Cao,Sprint 2
US-363,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_3,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🔴 Cao,Sprint 2
US-364,Bảo mật & Dữ liệu,Phân quyền Admin rule_3,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🔴 Cao,Sprint 2
US-365,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_3,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🔴 Cao,Sprint 2
US-366,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_3,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🔴 Cao,Sprint 2
US-367,Bảo mật & Dữ liệu,Audit Log rule_3,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🔴 Cao,Sprint 2
US-368,Bảo mật & Dữ liệu,Chặn User lạ rule_3,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🔴 Cao,Sprint 2
US-369,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_4,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🔴 Cao,Sprint 2
US-370,Bảo mật & Dữ liệu,Phân quyền Admin rule_4,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🔴 Cao,Sprint 2
US-371,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_4,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🟡 Trung bình,Sprint 2
US-372,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_4,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🟡 Trung bình,Sprint 2
US-373,Bảo mật & Dữ liệu,Audit Log rule_4,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🟡 Trung bình,Sprint 2
US-374,Bảo mật & Dữ liệu,Chặn User lạ rule_4,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🟡 Trung bình,Sprint 2
US-375,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_5,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🟡 Trung bình,Sprint 2
US-376,Bảo mật & Dữ liệu,Phân quyền Admin rule_5,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🟡 Trung bình,Sprint 2
US-377,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_5,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🟡 Trung bình,Sprint 2
US-378,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_5,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🟡 Trung bình,Sprint 2
US-379,Bảo mật & Dữ liệu,Audit Log rule_5,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🟡 Trung bình,Sprint 2
US-380,Bảo mật & Dữ liệu,Chặn User lạ rule_5,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🟡 Trung bình,Sprint 2
US-381,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_6,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🟡 Trung bình,Sprint 4
US-382,Bảo mật & Dữ liệu,Phân quyền Admin rule_6,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🟡 Trung bình,Sprint 4
US-383,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_6,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🟡 Trung bình,Sprint 4
US-384,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_6,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🟡 Trung bình,Sprint 4
US-385,Bảo mật & Dữ liệu,Audit Log rule_6,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🟡 Trung bình,Sprint 4
US-386,Bảo mật & Dữ liệu,Chặn User lạ rule_6,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🟡 Trung bình,Sprint 4
US-387,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_7,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🟡 Trung bình,Sprint 4
US-388,Bảo mật & Dữ liệu,Phân quyền Admin rule_7,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🟡 Trung bình,Sprint 4
US-389,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_7,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🟡 Trung bình,Sprint 4
US-390,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_7,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🟡 Trung bình,Sprint 4
US-391,Bảo mật & Dữ liệu,Audit Log rule_7,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🟡 Trung bình,Sprint 4
US-392,Bảo mật & Dữ liệu,Chặn User lạ rule_7,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🟡 Trung bình,Sprint 4
US-393,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_8,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🟡 Trung bình,Sprint 4
US-394,Bảo mật & Dữ liệu,Phân quyền Admin rule_8,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🟡 Trung bình,Sprint 4
US-395,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_8,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🟡 Trung bình,Sprint 4
US-396,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_8,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🟡 Trung bình,Sprint 4
US-397,Bảo mật & Dữ liệu,Audit Log rule_8,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🟡 Trung bình,Sprint 4
US-398,Bảo mật & Dữ liệu,Chặn User lạ rule_8,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🟡 Trung bình,Sprint 4
US-399,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_9,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🟡 Trung bình,Sprint 4
US-400,Bảo mật & Dữ liệu,Phân quyền Admin rule_9,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🟡 Trung bình,Sprint 4
US-401,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_9,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🟡 Trung bình,Sprint 4
US-402,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_9,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🟡 Trung bình,Sprint 4
US-403,Bảo mật & Dữ liệu,Audit Log rule_9,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🟡 Trung bình,Sprint 4
US-404,Bảo mật & Dữ liệu,Chặn User lạ rule_9,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🟡 Trung bình,Sprint 4
US-405,Bảo mật & Dữ liệu,Mã hóa lịch sử rule_10,Là IT,muốn mã hóa database chat,để bảo vệ quyền riêng tư,🟡 Trung bình,Sprint 4
US-406,Bảo mật & Dữ liệu,Phân quyền Admin rule_10,Là Quản trị viên,muốn chỉ cho phép admin sửa config,để tránh sai sót,🟡 Trung bình,Sprint 4
US-407,Bảo mật & Dữ liệu,Xác thực 2 lớp rule_10,Là Người dùng,muốn đăng nhập cần mã OTP,để tăng cường bảo mật,🟡 Trung bình,Sprint 4
US-408,Bảo mật & Dữ liệu,Xóa dữ liệu cũ rule_10,Là Quản trị viên,muốn tự động xóa log sau 30 ngày,để giảm dung lượng,🟡 Trung bình,Sprint 4
US-409,Bảo mật & Dữ liệu,Audit Log rule_10,Là Bảo mật,muốn ghi lại ai đã truy cập file nào,để kiểm tra khi có sự cố,🟡 Trung bình,Sprint 4
US-410,Bảo mật & Dữ liệu,Chặn User lạ rule_10,Là Hệ thống,muốn từ chối tin nhắn từ ID lạ,để tránh spam,🟡 Trung bình,Sprint 4
US-411,Trải nghiệm & Báo cáo,Gợi ý lệnh case_1,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟡 Trung bình,Sprint 4
US-412,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_1,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,Sprint 4
US-413,Trải nghiệm & Báo cáo,Dashboard đẹp case_1,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟡 Trung bình,Sprint 4
US-414,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_1,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟡 Trung bình,Sprint 4
US-415,Trải nghiệm & Báo cáo,Phản hồi lỗi case_1,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟡 Trung bình,Sprint 4
US-416,Trải nghiệm & Báo cáo,Xuất file Excel case_1,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟡 Trung bình,Sprint 4
US-417,Trải nghiệm & Báo cáo,Dark mode case_1,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟡 Trung bình,Sprint 4
US-418,Trải nghiệm & Báo cáo,Thông báo âm thanh case_1,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟡 Trung bình,Sprint 4
US-419,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_1,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟡 Trung bình,Sprint 4
US-420,Trải nghiệm & Báo cáo,Gợi ý lệnh case_2,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟡 Trung bình,Sprint 4
US-421,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_2,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,Sprint 4
US-422,Trải nghiệm & Báo cáo,Dashboard đẹp case_2,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟡 Trung bình,Sprint 4
US-423,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_2,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟡 Trung bình,Sprint 4
US-424,Trải nghiệm & Báo cáo,Phản hồi lỗi case_2,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟡 Trung bình,Sprint 4
US-425,Trải nghiệm & Báo cáo,Xuất file Excel case_2,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟡 Trung bình,Sprint 4
US-426,Trải nghiệm & Báo cáo,Dark mode case_2,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟡 Trung bình,Sprint 4
US-427,Trải nghiệm & Báo cáo,Thông báo âm thanh case_2,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟡 Trung bình,Sprint 4
US-428,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_2,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟡 Trung bình,Sprint 4
US-429,Trải nghiệm & Báo cáo,Gợi ý lệnh case_3,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟡 Trung bình,Sprint 4
US-430,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_3,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,Sprint 4
US-431,Trải nghiệm & Báo cáo,Dashboard đẹp case_3,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟡 Trung bình,Sprint 4
US-432,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_3,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟡 Trung bình,Sprint 4
US-433,Trải nghiệm & Báo cáo,Phản hồi lỗi case_3,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟡 Trung bình,Sprint 4
US-434,Trải nghiệm & Báo cáo,Xuất file Excel case_3,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟡 Trung bình,Sprint 4
US-435,Trải nghiệm & Báo cáo,Dark mode case_3,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟡 Trung bình,Sprint 4
US-436,Trải nghiệm & Báo cáo,Thông báo âm thanh case_3,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟡 Trung bình,Sprint 4
US-437,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_3,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟡 Trung bình,Sprint 4
US-438,Trải nghiệm & Báo cáo,Gợi ý lệnh case_4,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟡 Trung bình,Sprint 4
US-439,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_4,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,Sprint 4
US-440,Trải nghiệm & Báo cáo,Dashboard đẹp case_4,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟡 Trung bình,Sprint 4
US-441,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_4,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟡 Trung bình,Sprint 4
US-442,Trải nghiệm & Báo cáo,Phản hồi lỗi case_4,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟡 Trung bình,Sprint 4
US-443,Trải nghiệm & Báo cáo,Xuất file Excel case_4,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟡 Trung bình,Sprint 4
US-444,Trải nghiệm & Báo cáo,Dark mode case_4,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟡 Trung bình,Sprint 4
US-445,Trải nghiệm & Báo cáo,Thông báo âm thanh case_4,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟡 Trung bình,Sprint 4
US-446,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_4,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟡 Trung bình,Sprint 4
US-447,Trải nghiệm & Báo cáo,Gợi ý lệnh case_5,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟡 Trung bình,Sprint 4
US-448,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_5,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,Sprint 4
US-449,Trải nghiệm & Báo cáo,Dashboard đẹp case_5,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟡 Trung bình,Sprint 4
US-450,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_5,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟡 Trung bình,Sprint 4
US-451,Trải nghiệm & Báo cáo,Phản hồi lỗi case_5,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟡 Trung bình,Sprint 4
US-452,Trải nghiệm & Báo cáo,Xuất file Excel case_5,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟡 Trung bình,Sprint 4
US-453,Trải nghiệm & Báo cáo,Dark mode case_5,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟡 Trung bình,Sprint 4
US-454,Trải nghiệm & Báo cáo,Thông báo âm thanh case_5,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟡 Trung bình,Sprint 4
US-455,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_5,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟡 Trung bình,Sprint 4
US-456,Trải nghiệm & Báo cáo,Gợi ý lệnh case_6,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟡 Trung bình,Sprint 4
US-457,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_6,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,Sprint 4
US-458,Trải nghiệm & Báo cáo,Dashboard đẹp case_6,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟡 Trung bình,Sprint 4
US-459,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_6,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟡 Trung bình,Sprint 4
US-460,Trải nghiệm & Báo cáo,Phản hồi lỗi case_6,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟡 Trung bình,Sprint 4
US-461,Trải nghiệm & Báo cáo,Xuất file Excel case_6,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟡 Trung bình,Sprint 4
US-462,Trải nghiệm & Báo cáo,Dark mode case_6,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟡 Trung bình,Sprint 4
US-463,Trải nghiệm & Báo cáo,Thông báo âm thanh case_6,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟡 Trung bình,Sprint 4
US-464,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_6,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟡 Trung bình,Sprint 4
US-465,Trải nghiệm & Báo cáo,Gợi ý lệnh case_7,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟡 Trung bình,Sprint 4
US-466,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_7,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟡 Trung bình,Sprint 4
US-467,Trải nghiệm & Báo cáo,Dashboard đẹp case_7,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟡 Trung bình,Sprint 4
US-468,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_7,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟡 Trung bình,Sprint 4
US-469,Trải nghiệm & Báo cáo,Phản hồi lỗi case_7,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟡 Trung bình,Sprint 4
US-470,Trải nghiệm & Báo cáo,Xuất file Excel case_7,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟡 Trung bình,Sprint 4
US-471,Trải nghiệm & Báo cáo,Dark mode case_7,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟡 Trung bình,Sprint 4
US-472,Trải nghiệm & Báo cáo,Thông báo âm thanh case_7,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟢 Thấp,Sprint 4
US-473,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_7,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟢 Thấp,Sprint 4
US-474,Trải nghiệm & Báo cáo,Gợi ý lệnh case_8,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟢 Thấp,Sprint 4
US-475,Trải nghiệm & Báo cáo,Đa ngôn ngữ case_8,Là Nhân viên,muốn chuyển giao diện sang tiếng Anh,để phục vụ chuyên gia nước ngoài,🟢 Thấp,Sprint 4
US-476,Trải nghiệm & Báo cáo,Dashboard đẹp case_8,Là Quản lý,muốn xem biểu đồ hình tròn về task,để dễ nắm bắt thông tin,🟢 Thấp,Sprint 4
US-477,Trải nghiệm & Báo cáo,Hướng dẫn sử dụng case_8,Là User mới,muốn xem video tutorial,để biết cách dùng bot,🟢 Thấp,Sprint 4
US-478,Trải nghiệm & Báo cáo,Phản hồi lỗi case_8,Là Người dùng,muốn gửi report khi bot trả lời sai,để cải thiện chất lượng AI,🟢 Thấp,Sprint 4
US-479,Trải nghiệm & Báo cáo,Xuất file Excel case_8,Là Kế toán,muốn tải danh sách thu chi,để làm báo cáo thuế,🟢 Thấp,Sprint 4
US-480,Trải nghiệm & Báo cáo,Dark mode case_8,Là Người dùng,muốn đổi giao diện dashboard sang màu tối,để dịu mắt khi làm việc đêm,🟢 Thấp,Sprint 4
US-481,Trải nghiệm & Báo cáo,Thông báo âm thanh case_8,Là Người dùng,muốn nhận chuông khi có tin nhắn khẩn,để xử lý tức thì,🟢 Thấp,Sprint 4
US-482,Trải nghiệm & Báo cáo,Lịch sử soạn thảo case_8,Là Thư ký,muốn xem lại các bản thảo cũ,để sửa đổi nội dung,🟢 Thấp,Sprint 4
US-483,Trải nghiệm & Báo cáo,Gợi ý lệnh case_9,Là Người dùng,muốn nhận gợi ý phím bấm,để thao tác nhanh hơn,🟢 Thấp,Sprint 4
